veery	  1.687416	79646	Catharus_fuscescens
rinphe	  1.687395	79645	Phasianus_colchicus
larspa	  1.668941	78774	Chondestes_grammacus
cintea	  1.668602	78758	Anas_cyanoptera
anhing	  1.664916	78584	Anhinga_anhinga
royter1	  1.645933	77688	Thalasseus_maximus
mouchi	  1.645255	77656	Poecile_gambeli
westan	  1.638348	77330	Piranga_ludoviciana
amhgul1	  1.632564	77057	Larus_argentatus_smithsonianus
semsan	  1.629471	76911	Calidris_pusilla
yetvir	  1.628475	76864	Vireo_flavifrons
brdowl	  1.625064	76703	Strix_varia
eargre	  1.618708	76403	Podiceps_nigricollis
oaktit	  1.605869	75797	Baeolophus_inornatus
wewpew	  1.575573	74367	Contopus_sordidulus
sursco	  1.566717	73949	Melanitta_perspicillata
winwre3	  1.551272	73220	Troglodytes_hiemalis
snogoo	  1.540869	72729	Chen_caerulescens
canvas	  1.533094	72362	Aythya_valisineria
wessan	  1.515827	71547	Calidris_mauri
solsan	  1.506929	71127	Tringa_solitaria
bkchum	  1.505107	71041	Archilochus_alexandri
btbwar	  1.493412	70489	Setophaga_caerulescens
rudtur	  1.480043	69858	Arenaria_interpres
bnhnut	  1.460191	68921	Sitta_pusilla
yebcha	  1.448835	68385	Icteria_virens
bkpwar	  1.438602	67902	Setophaga_striata
wilfly	  1.433793	67675	Empidonax_traillii
tenwar	  1.420340	67040	Oreothlypis_peregrina
gresca	  1.416251	66847	Aythya_marila
merlin	  1.411696	66632	Falco_columbarius
banswa	  1.399153	66040	Riparia_riparia
vesspa	  1.397458	65960	Pooecetes_gramineus
lobdow	  1.396632	65921	Limnodromus_scolopaceus
leafly	  1.371674	64743	Empidonax_minimus
labwoo	  1.370573	64691	Picoides_scalaris
norwat	  1.370467	64686	Parkesia_noveboracensis
larus	  1.366759	64511	Larinae_sp.
wrenti	  1.346441	63552	Chamaea_fasciata
comter	  1.343475	63412	Sterna_hirundo
bulori	  1.327734	62669	Icterus_bullockii
boboli	  1.318263	62222	Dolichonyx_oryzivorus
hoowar	  1.289640	60871	Setophaga_citrina
prawar	  1.287818	60785	Setophaga_discolor
acafly	  1.285234	60663	Empidonax_virescens
comnig	  1.284026	60606	Chordeiles_minor
glwgul	  1.269450	59918	Larus_glaucescens
batpig1	  1.242289	58636	Patagioenas_fasciata
pecsan	  1.230170	58064	Calidris_melanotos
shbdow	  1.229534	58034	Limnodromus_griseus
brwhaw	  1.219068	57540	Buteo_platypterus
towwar	  1.216950	57440	Setophaga_townsendi
yetwar	  1.216717	57429	Setophaga_dominica
sora	  1.209068	57068	Porzana_carolina
sctfly	  1.177691	55587	Tyrannus_forficatus
margod	  1.167289	55096	Limosa_fedoa
verdin	  1.161314	54814	Auriparus_flaviceps
yehbla	  1.143687	53982	Xanthocephalus_xanthocephalus
whfibi	  1.140445	53829	Plegadis_chihi
bkbwar	  1.131293	53397	Setophaga_fusca
leater1	  1.104089	52113	Sternula_antillarum
astfly	  1.096611	51760	Myiarchus_cinerascens
rufhum	  1.093687	51622	Selasphorus_rufus
cowscj1	  1.067140	50369	Aphelocoma_californica_[californica_Group]
norbob	  1.039407	49060	Colinus_virginianus
gloibi	  1.037776	48983	Plegadis_falcinellus
dickci	  1.037140	48953	Spiza_americana
buwwar	  1.022712	48272	Vermivora_cyanoptera
hutvir	  1.016547	47981	Vireo_huttoni
whtkit	  1.015085	47912	Elanus_leucurus
retloo	  1.003475	47364	Gavia_stellata
pasfly	  1.000255	47212	Empidonax_difficilis
pygnut	   .989026	46682	Sitta_pygmaea
ycnher	   .987712	46620	Nyctanassa_violacea
paibun	   .964217	45511	Passerina_ciris
motduc	   .962585	45434	Anas_fulvigula
cogdov	   .956208	45133	Columbina_passerina
ameoys	   .949704	44826	Haematopus_palliatus
woosto	   .947055	44701	Mycteria_americana
wrthaw1	   .947013	44699	Buteo_jamaicensis_calurus
incdov	   .945339	44620	Columbina_inca
prowar	   .942691	44495	Protonotaria_citrea
louwat	   .929746	43884	Parkesia_motacilla
blkski	   .928560	43828	Rynchops_niger
swahaw	   .921250	43483	Buteo_swainsoni
virrai	   .919937	43421	Rallus_limicola
brant	   .914937	43185	Branta_bernicla
gamqua	   .895975	42290	Callipepla_gambelii
lobcur	   .892098	42107	Numenius_americanus
blctit4	   .885382	41790	Baeolophus_atricristatus
graspa	   .881272	41596	Ammodramus_savannarum
gilwoo	   .876483	41370	Melanerpes_uropygialis
lazbun	   .872903	41201	Passerina_amoena
rusbla	   .866971	40921	Euphagus_carolinus
whwsco	   .853772	40298	Melanitta_fusca
lotduc	   .849344	40089	Clangula_hyemalis
allhum	   .845339	39900	Selasphorus_sasin
tunswa	   .837945	39551	Cygnus_columbianus
caskin	   .822246	38810	Tyrannus_vociferans
bbwduc	   .818454	38631	Dendrocygna_autumnalis
rocwre	   .808920	38181	Salpinctes_obsoletus
greroa	   .797331	37634	Geococcyx_californianus
norgan	   .786505	37123	Morus_bassanus
heegul	   .783284	36971	Larus_heermanni
gwfgoo	   .782416	36930	Anser_albifrons
phaino	   .782373	36928	Phainopepla_nitens
rosspo1	   .779725	36803	Platalea_ajaja
neocor	   .771886	36433	Phalacrocorax_brasilianus
cacwre	   .754831	35628	Campylorhynchus_brunneicapillus
cubthr	   .752585	35522	Toxostoma_curvirostre
whtswi	   .749958	35398	Aeronautes_saxatalis
pacwre1	   .747543	35284	Troglodytes_pacificus
wilpha	   .742140	35029	Phalaropus_tricolor
bracor	   .740509	34952	Phalacrocorax_penicillatus
agwtea1	   .734513	34669	Anas_crecca_carolinensis
btywar	   .733009	34598	Setophaga_nigrescens
gofwoo	   .731526	34528	Melanerpes_aurifrons
canwar	   .725466	34242	Cardellina_canadensis
brthum	   .704344	33245	Selasphorus_platycercus
moublu	   .698899	32988	Sialia_currucoides
evegro	   .696166	32859	Coccothraustes_vespertinus
rolhaw	   .695276	32817	Buteo_lagopus
easowl1	   .694788	32794	Megascops_asio
clarai	   .690572	32595	Rallus_longirostris
olsfly	   .688009	32474	Contopus_cooperi
pelcor	   .686144	32386	Phalacrocorax_pelagicus
blkter	   .678136	32008	Chlidonias_niger
cacgoo1	   .668199	31539	Branta_hutchinsii
whimbr	   .657521	31035	Numenius_phaeopus
clagre	   .649449	30654	Aechmophorus_clarkii
crow	   .644153	30404	Corvus_sp._(crow_sp.)
towsol	   .643221	30360	Myadestes_townsendi
comeid	   .642543	30328	Somateria_mollissima
varthr	   .641441	30276	Ixoreus_naevius
abetow	   .634534	29950	Melozone_aberti
goleag	   .630445	29757	Aquila_chrysaetos
blksco2	   .628009	29642	Melanitta_americana
verfly	   .624195	29462	Pyrocephalus_rubinus
amebit	   .624132	29459	Botaurus_lentiginosus
rufgro	   .607839	28690	Bonasa_umbellus
comred	   .603729	28496	Acanthis_flammea
clcspa	   .598157	28233	Spizella_pallida
cantow	   .593517	28014	Melozone_fusca
calthr	   .590975	27894	Toxostoma_redivivum
canwre	   .587903	27749	Catherpes_mexicanus
crecar1	   .583835	27557	Caracara_cheriway
bktspa	   .581653	27454	Amphispiza_bilineata
gnttow	   .574937	27137	Pipilo_chlorurus
woewar1	   .570445	26925	Helmitheros_vermivorum
macwar	   .567627	26792	Geothlypis_tolmiei
amewoo	   .565318	26683	Scolopax_minor
kenwar	   .564513	26645	Geothlypis_formosa
miskit	   .562182	26535	Ictinia_mississippiensis
redcro	   .560530	26457	Loxia_curvirostra
brespa	   .559979	26431	Spizella_breweri
fragul	   .554068	26152	Leucophaeus_pipixcan
camwar	   .552394	26073	Setophaga_tigrina
swallo	   .550339	25976	Hirundinidae_sp.
gwcspa	   .547966	25864	Zonotrichia_leucophrys_gambelii
empido	   .546971	25817	Empidonax_sp.
erthaw1	   .546759	25807	Buteo_jamaicensis_borealis
stisan	   .542331	25598	Calidris_himantopus
casfin	   .540254	25500	Haemorhous_cassinii
babwar	   .537839	25386	Setophaga_castanea
sedwre	   .533115	25163	Cistothorus_platensis
hooori	   .529767	25005	Icterus_cucullatus
renpha	   .523454	24707	Phalaropus_lobatus
rebsap	   .517712	24436	Sphyrapicus_ruber
rengre	   .503877	23783	Podiceps_grisegena
grbher	   .496547	23437	Ardea_herodias_[herodias_Group]
redegr	   .494725	23351	Egretta_rufescens
lbbgul	   .493454	23291	Larus_fuscus
belvir	   .489958	23126	Vireo_bellii
harspa	   .481737	22738	Zonotrichia_querula
pyrrhu	   .476992	22514	Cardinalis_sinuatus
reshaw4	   .474555	22399	Buteo_lineatus_elegans
baisan	   .473983	22372	Calidris_bairdii
brnowl	   .465127	21954	Tyto_alba
pipplo	   .458390	21636	Charadrius_melodus
truswa	   .456992	21570	Cygnus_buccinator
palwar3	   .451547	21313	Setophaga_palmarum_palmarum
santer1	   .441165	20823	Thalasseus_sandvicensis
aldfly	   .439004	20721	Empidonax_alnorum
blkoys	   .438687	20706	Haematopus_bachmani
rucspa	   .437670	20658	Aimophila_ruficeps
commur	   .436335	20595	Uria_aalge
whbnut2	   .435064	20535	Sitta_carolinensis_carolinensis
mewgul	   .433665	20469	Larus_canus
blktur	   .427818	20193	Arenaria_melanocephala
snobun	   .422606	19947	Plectrophenax_nivalis
mallar2	   .420509	19848	Anas_platyrhynchos_(Domestic_type)
vauswi	   .414725	19575	Chaetura_vauxi
piggui	   .411229	19410	Cepphus_columba
prafal	   .410297	19366	Falco_mexicanus
scaup	   .407691	19243	Aythya_marila/affinis
pacloo	   .395932	18688	Gavia_pacifica
rosgoo	   .389682	18393	Chen_rossii
norshr	   .385382	18190	Lanius_excubitor
hummin	   .380106	17941	Trochilidae_sp.
grecor	   .379958	17934	Phalacrocorax_carbo
clanut	   .378411	17861	Nucifraga_columbiana
cangoo4	   .376653	17778	Branta_canadensis_moffitti/maxima
calidr	   .376398	17766	Calidris_sp._(peep_sp.)
duck1	   .374492	17676	Anatinae_sp.
casvir	   .372182	17567	Vireo_cassinii
rensap	   .366102	17280	Sphyrapicus_nuchalis
redkno	   .364322	17196	Calidris_canutus
mouwar	   .363559	17160	Geothlypis_philadelphia
whrsan	   .360127	16998	Calidris_fuscicollis
grekis	   .359449	16966	Pitangus_sulphuratus
blackb	   .355869	16797	Icteridae_sp.
cerwar	   .353708	16695	Setophaga_cerulea
phivir	   .352140	16621	Vireo_philadelphicus
gycthr	   .351568	16594	Catharus_minimus
snoplo5	   .350657	16551	Charadrius_nivosus
dowitc	   .346441	16352	Limnodromus_griseus/scolopaceus
sooshe	   .342797	16180	Puffinus_griseus
yebmag	   .340699	16081	Pica_nuttalli
dusfly	   .338814	15992	Empidonax_oberholseri
bkbcuc	   .334470	15787	Coccyzus_erythropthalmus
coshum	   .328983	15528	Calypte_costae
burowl	   .326589	15415	Athene_cunicularia
x00051	   .324449	15314	Larus_occidentalis_x_glaucescens
y00033	   .321970	15197	Poecile_carolinensis/atricapillus
foxsp2	   .320932	15148	Passerella_iliaca_[unalaschcensis_Group]
ferhaw	   .320021	15105	Buteo_regalis
plsvir	   .319809	15095	Vireo_plumbeus
