SCI_NAME,TAXON_ORDER,PRIMARY_COM_NAME,CATEGORY,ORDER_NAME,FAMILY_NAME,SUBFAMILY_NAME,GENUS_NAME,SPECIES_NAME
Thamnistes_anabatinus_[anabatinus_Group],12996,Russet_Antshrike_(Tawny),issf,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
Thamnomanes_ardesiacus,13035,Dusky-throated_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnomanes,ardesiacus
Thamnomanes_caesius,13041,Cinereous_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnomanes,caesius
Thamnomanes_saturninus,13038,Saturnine_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnomanes,saturninus
Thamnomanes_schistogynus,13047,Bluish-slate_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnomanes,schistogynus
Thamnophilidae_(antbird_sp.),13453.5,antbird_sp.,spuh,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
Thamnophilidae_sp._(antshrike_sp.),13004.5,antshrike_sp.,spuh,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
Thamnophilus_aethiops,12966,White-shouldered_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,aethiops
Thamnophilus_amazonicus,12980,Amazonian_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,amazonicus
Thamnophilus_ambiguus,12952,Sooretama_Slaty-Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,ambiguus
Thamnophilus_aroyae,12977,Upland_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,aroyae
Thamnophilus_atrinucha,12919,Western_Slaty-Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,atrinucha
Thamnophilus_bernardi,12916,Collared_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,bernardi
Thamnophilus_bernardi_bernardi,12917,Collared_Antshrike_(Collared),issf,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
Thamnophilus_bridgesi,12922,Black-hooded_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,bridgesi
Thamnophilus_caerulescens,12953,Variable_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,caerulescens
Thamnophilus_cryptoleucus,12933,Castelnau's_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,cryptoleucus
Thamnophilus_doliatus,12879,Barred_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,doliatus
Thamnophilus_insignis,12986,Streak-backed_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,insignis
Thamnophilus_melanonotus,12978,Black-backed_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,melanonotus
